Trait1	Trait2	rg	se	z	p
BMI 2010	Cigarettes per Day	0.227	0.074	3.061	0.002
BMI 2010	College	-0.219	0.037	-5.953	2.64E-09
BMI 2010	Coronary Artery Disease	0.22	0.032	6.81	9.75E-12
BMI 2010	Crohn's Disease	0.026	0.038	0.691	0.49
BMI 2010	Depression	-0.049	0.055	-0.887	0.375
BMI 2010	Ever/Never Smoked	0.164	0.046	3.562	0
BMI 2010	Extreme BMI	1.021	0.022	47.284	0.00E+00
BMI 2010	Extreme Height	-0.046	0.035	-1.321	0.187
BMI 2010	Fasting Glucose	0.237	0.046	5.113	3.17E-07
BMI 2010	Fasting Insulin	0.567	0.058	9.758	1.71E-22
BMI 2010	Fasting Proinsulin	0.205	0.074	2.758	0.006
BMI 2010	Former/Current Smoker	-0.177	0.065	-2.728	6.00E-03
BMI 2010	HbA1C	0.142	0.05	2.859	0.004
BMI 2010	HDL	-0.345	0.045	-7.602	2.91E-14
BMI 2010	Height	-0.051	0.024	-2.12	0.034
BMI 2010	Height 2010	-0.056	0.026	-2.131	0.033
BMI 2010	Hip Circumference	0.819	0.015	54.538	0
BMI 2010	HOMA-B	0.398	0.064	6.22	4.97E-10
BMI 2010	HOMA-IR	0.665	0.083	7.984	1.42E-15
BMI 2010	Infant Head Circumference	0.172	0.058	2.954	0.003
BMI 2010	LDL	0.029	0.042	0.703	0.482
BMI 2010	Lumbar Spine BMD	0.087	0.033	2.602	0.009
BMI 2010	Neck BMD	0.09	0.029	3.064	0.002
BMI 2010	Obesity Class 1	1.044	0.009	111.008	0
BMI 2010	Obesity Class 2	1.042	0.016	64.781	0
BMI 2010	Obesity Class 3	1.023	0.05	20.552	7.32E-94
BMI 2010	Overweight	1.031	0.01	107.951	0
BMI 2010	Rheumatoid Arthritis	0.068	0.035	1.949	0.051
BMI 2010	Schizophrenia	-0.075	0.024	-3.092	0.002
BMI 2010	T2D	0.347	0.047	7.323	2.43E-13
BMI 2010	Total Cholesterol	-0.021	0.034	-0.613	0.54
BMI 2010	Triglycerides	0.231	0.038	6.039	1.55E-09
BMI 2010	Ulcerative Colitis	-0.126	0.043	-2.925	0.003
BMI 2010	Waist Circumference	0.873	0.014	61.853	0
BMI 2010	Waist-Hip Ratio	0.547	0.032	17.089	1.80E-65
BMI 2010	Years of Education	-0.258	0.037	-6.927	4.29E-12
Childhood IQ	Childhood Obesity	-0.14	0.087	-1.602	0.109
Childhood IQ	Cigarettes per Day	-0.181	0.135	-1.338	1.81E-01
Childhood IQ	College	0.731	0.085	8.56	1.13E-17
Childhood IQ	Coronary Artery Disease	-0.066	0.068	-0.961	0.336
Childhood IQ	Crohn's Disease	-0.119	0.092	-1.293	0.196
Childhood IQ	Depression	-0.025	0.12	-0.211	0.833
Childhood IQ	Ever/Never Smoked	-0.23	0.108	-2.133	0.033
Childhood IQ	Extreme BMI	-0.14	0.094	-1.493	0.136
Childhood IQ	Extreme Height	0.158	0.074	2.131	0.033
Childhood IQ	Fasting Glucose	0	0.094	0.001	0.999
Childhood IQ	Fasting Insulin	-0.23	0.106	-2.172	0.03
Childhood IQ	Fasting Proinsulin	-0.137	0.135	-1.016	0.309
Childhood IQ	Former/Current Smoker	0.41	0.149	2.75	0.006
Childhood IQ	HbA1C	-0.047	0.129	-0.364	0.716
Childhood IQ	HDL	0.137	0.069	1.994	0.046
Childhood IQ	Height	0.102	0.047	2.173	0.03
Childhood IQ	Height 2010	0.108	0.052	2.077	0.038
Childhood IQ	Hip Circumference	-0.078	0.06	-1.305	0.192
Childhood IQ	HOMA-B	-0.251	0.114	-2.195	0.028
Childhood IQ	HOMA-IR	-0.122	0.12	-1.018	0.309
Childhood IQ	Infant Head Circumference	0.381	0.142	2.686	0.007
Childhood IQ	LDL	-0.253	0.08	-3.146	0.002
Childhood IQ	Lumbar Spine BMD	0.066	0.077	0.857	0.391
Childhood IQ	Neck BMD	-0.004	0.065	-0.055	0.956
Childhood IQ	Obesity Class 1	-0.177	0.059	-3.019	0.003
Childhood IQ	Obesity Class 2	-0.138	0.074	-1.865	0.062
Childhood IQ	Obesity Class 3	-0.204	0.103	-1.975	0.048
Childhood IQ	Overweight	-0.156	0.063	-2.471	0.013
Childhood IQ	Rheumatoid Arthritis	-0.222	0.078	-2.864	0.004
Childhood IQ	Schizophrenia	-0.055	0.057	-0.954	0.34
Childhood IQ	T2D	-0.091	0.095	-0.961	0.337
Childhood IQ	Total Cholesterol	-0.221	0.07	-3.142	0.002
Childhood IQ	Triglycerides	-0.181	0.063	-2.876	0.004
Childhood IQ	Ulcerative Colitis	-0.012	0.102	-0.117	0.907
Childhood IQ	Waist Circumference	-0.156	0.056	-2.77	0.006
Childhood IQ	Waist-Hip Ratio	-0.145	0.051	-2.828	5.00E-03
Childhood IQ	Years of Education	0.752	0.085	8.893	5.94E-19
Childhood Obesity	Cigarettes per Day	0.266	0.101	2.64	8.00E-03
Childhood Obesity	College	-0.214	0.05	-4.309	1.64E-05
Childhood Obesity	Coronary Artery Disease	0.163	0.046	3.542	0
Childhood Obesity	Crohn's Disease	-0.013	0.053	-0.242	0.809
Childhood Obesity	Depression	-0.07	0.09	-0.771	0.441
Childhood Obesity	Ever/Never Smoked	0.177	0.065	2.706	7.00E-03
Childhood Obesity	Extreme BMI	0.852	0.072	11.814	3.32E-32
Childhood Obesity	Extreme Height	-0.057	0.064	-0.896	0.37
Childhood Obesity	Fasting Glucose	0.049	0.063	0.778	0.437
Childhood Obesity	Fasting Insulin	0.322	0.087	3.714	0
Childhood Obesity	Fasting Proinsulin	-0.071	0.117	-0.604	0.546
Childhood Obesity	Former/Current Smoker	-0.153	0.092	-1.664	0.096
Childhood Obesity	HbA1C	0.115	0.079	1.453	0.146
Childhood Obesity	HDL	-0.187	0.056	-3.356	1.00E-03
Childhood Obesity	Height	-0.018	0.038	-0.484	0.628
Childhood Obesity	Height 2010	-0.025	0.042	-0.607	0.544
Childhood Obesity	Hip Circumference	0.629	0.046	13.707	9.28E-43
Childhood Obesity	HOMA-B	0.344	0.093	3.678	0
Childhood Obesity	HOMA-IR	0.397	0.103	3.845	0
Childhood Obesity	Infant Head Circumference	0.273	0.091	2.996	0.003
Childhood Obesity	LDL	-0.135	0.059	-2.278	0.023
Childhood Obesity	Lumbar Spine BMD	0.047	0.053	0.893	0.372
Childhood Obesity	Neck BMD	0.008	0.052	0.16	8.73E-01
Childhood Obesity	Obesity Class 1	0.787	0.047	16.568	1.18E-61
Childhood Obesity	Obesity Class 2	0.845	0.054	15.498	3.61E-54
Childhood Obesity	Obesity Class 3	0.8	0.081	9.92	3.40E-23
Childhood Obesity	Overweight	0.815	0.047	17.361	1.64E-67
Childhood Obesity	Rheumatoid Arthritis	0.058	0.059	0.984	0.325
Childhood Obesity	Schizophrenia	-0.045	0.041	-1.103	0.27
Childhood Obesity	T2D	0.223	0.064	3.475	0.001
Childhood Obesity	Total Cholesterol	-0.111	0.049	-2.25	0.024
Childhood Obesity	Triglycerides	0.111	0.05	2.208	2.70E-02
Childhood Obesity	Ulcerative Colitis	-0.239	0.056	-4.268	1.97E-05
Childhood Obesity	Waist Circumference	0.608	0.041	14.878	4.61E-50
Childhood Obesity	Waist-Hip Ratio	0.353	0.043	8.197	2.47E-16
Childhood Obesity	Years of Education	-0.23	0.048	-4.743	2.10E-06
Cigarettes per Day	College	-0.29	0.103	-2.816	0.005
Cigarettes per Day	Coronary Artery Disease	0.252	0.085	2.964	0.003
Cigarettes per Day	Crohn's Disease	0.217	0.081	2.671	0.008
Cigarettes per Day	Depression	0.045	0.127	0.355	0.723
Cigarettes per Day	Ever/Never Smoked	0.366	0.104	3.508	0
Cigarettes per Day	Extreme BMI	0.263	0.12	2.193	0.028
Cigarettes per Day	Extreme Height	-0.067	0.077	-0.868	0.385
Cigarettes per Day	Fasting Glucose	0.059	0.099	0.594	0.553
Cigarettes per Day	Fasting Insulin	0.033	0.12	0.273	0.785
Cigarettes per Day	Fasting Proinsulin	0.102	0.165	0.62	5.35E-01
Cigarettes per Day	Former/Current Smoker	-0.619	0.141	-4.394	1.11E-05
Cigarettes per Day	HbA1C	0.13	0.117	1.115	0.265
Cigarettes per Day	HDL	-0.332	0.096	-3.458	0.001
Cigarettes per Day	Height	-0.034	0.045	-0.746	0.455
Cigarettes per Day	Height 2010	-0.015	0.053	-0.291	0.771
Cigarettes per Day	Hip Circumference	0.152	0.068	2.22	0.026
Cigarettes per Day	HOMA-B	0.041	0.12	0.342	0.732
Cigarettes per Day	HOMA-IR	0.024	0.14	0.175	0.861
Cigarettes per Day	Infant Head Circumference	0.135	0.148	0.911	0.362
Cigarettes per Day	LDL	-0.032	0.094	-0.344	0.731
Cigarettes per Day	Lumbar Spine BMD	0.062	0.083	0.747	0.455
Cigarettes per Day	Neck BMD	0.022	0.074	0.295	0.768
Cigarettes per Day	Obesity Class 1	0.329	0.092	3.563	0
Cigarettes per Day	Obesity Class 2	0.322	0.097	3.332	0.001
Cigarettes per Day	Obesity Class 3	0.29	0.136	2.126	0.034
Cigarettes per Day	Overweight	0.338	0.092	3.688	0
Cigarettes per Day	Rheumatoid Arthritis	0.123	0.074	1.672	0.095
Cigarettes per Day	Schizophrenia	0.105	0.059	1.785	0.074
Cigarettes per Day	T2D	0.218	0.093	2.339	0.019
Cigarettes per Day	Total Cholesterol	-0.028	0.082	-0.344	0.731
Cigarettes per Day	Triglycerides	0.263	0.075	3.522	0
Cigarettes per Day	Ulcerative Colitis	0.117	0.094	1.237	2.16E-01
Cigarettes per Day	Waist Circumference	0.291	0.073	4.017	5.89E-05
Cigarettes per Day	Waist-Hip Ratio	0.346	0.081	4.275	1.91E-05
Cigarettes per Day	Years of Education	-0.308	0.099	-3.113	2.00E-03
College	Coronary Artery Disease	-0.279	0.043	-6.528	6.66E-11
College	Crohn's Disease	-0.055	0.056	-0.979	3.28E-01
College	Depression	-0.091	0.081	-1.126	2.60E-01
College	Ever/Never Smoked	-0.354	0.059	-5.974	2.32E-09
College	Extreme BMI	-0.21	0.05	-4.195	2.73E-05
College	Extreme Height	0.078	0.043	1.805	0.071
College	Fasting Glucose	-0.074	0.056	-1.337	1.81E-01
College	Fasting Insulin	-0.258	0.066	-3.897	9.74E-05
College	Fasting Proinsulin	-0.156	0.096	-1.622	1.05E-01
College	Former/Current Smoker	0.555	0.097	5.715	1.09E-08
College	HbA1C	-0.203	0.083	-2.442	0.015
College	HDL	0.283	0.047	6.018	1.77E-09
College	Height	0.118	0.027	4.321	1.55E-05
College	Height 2010	0.11	0.032	3.483	0
College	Hip Circumference	-0.133	0.037	-3.602	0.00E+00
College	HOMA-B	-0.164	0.075	-2.194	2.80E-02
College	HOMA-IR	-0.257	0.078	-3.283	0.001
College	Infant Head Circumference	0.19	0.089	2.141	0.032
College	LDL	-0.13	0.05	-2.622	0.009
College	Lumbar Spine BMD	0.046	0.046	1.014	0.311
College	Neck BMD	0.035	0.044	0.806	4.20E-01
College	Obesity Class 1	-0.253	0.036	-6.987	2.80E-12
College	Obesity Class 2	-0.271	0.044	-6.16	7.27E-10
College	Obesity Class 3	-0.332	0.064	-5.182	2.20E-07
College	Overweight	-0.267	0.04	-6.704	2.03E-11
College	Rheumatoid Arthritis	-0.274	0.052	-5.26	1.44E-07
College	Schizophrenia	0.053	0.036	1.484	0.138
College	T2D	-0.178	0.054	-3.292	0.001
College	Total Cholesterol	-0.089	0.041	-2.167	3.00E-02
College	Triglycerides	-0.236	0.042	-5.609	2.03E-08
College	Ulcerative Colitis	0.057	0.06	0.942	3.46E-01
College	Waist Circumference	-0.239	0.033	-7.146	8.91E-13
College	Waist-Hip Ratio	-0.285	0.036	-7.99	1.35E-15
College	Years of Education	1.012	0.014	72.095	0
Coronary Artery Disease	Crohn's Disease	0.078	0.04	1.938	0.053
Coronary Artery Disease	Depression	0.147	0.06	2.454	1.40E-02
Coronary Artery Disease	Ever/Never Smoked	0.266	0.046	5.756	8.62E-09
Coronary Artery Disease	Extreme BMI	0.252	0.047	5.32	1.04E-07
Coronary Artery Disease	Extreme Height	-0.13	0.036	-3.595	0
Coronary Artery Disease	Fasting Glucose	0.106	0.047	2.279	2.30E-02
Coronary Artery Disease	Fasting Insulin	0.269	0.064	4.227	2.37E-05
Coronary Artery Disease	Fasting Proinsulin	0.01	0.081	0.127	8.99E-01
Coronary Artery Disease	Former/Current Smoker	-0.319	0.068	-4.712	2.46E-06
Coronary Artery Disease	HbA1C	0.24	0.062	3.886	0
Coronary Artery Disease	HDL	-0.314	0.042	-7.532	4.98E-14
Coronary Artery Disease	Height	-0.098	0.023	-4.236	2.28E-05
Coronary Artery Disease	Height 2010	-0.098	0.025	-3.925	8.66E-05
Coronary Artery Disease	Hip Circumference	0.139	0.034	4.128	3.66E-05
Coronary Artery Disease	HOMA-B	0.126	0.063	2.01	4.40E-02
Coronary Artery Disease	HOMA-IR	0.223	0.069	3.255	0.001
Coronary Artery Disease	Infant Head Circumference	-0.062	0.075	-0.823	4.10E-01
Coronary Artery Disease	LDL	0.221	0.051	4.343	1.41E-05
Coronary Artery Disease	Lumbar Spine BMD	0.047	0.039	1.198	0.231
Coronary Artery Disease	Neck BMD	0.035	0.036	0.954	3.40E-01
Coronary Artery Disease	Obesity Class 1	0.205	0.035	5.885	3.98E-09
Coronary Artery Disease	Obesity Class 2	0.234	0.042	5.545	2.93E-08
Coronary Artery Disease	Obesity Class 3	0.212	0.061	3.48	1.00E-03
Coronary Artery Disease	Overweight	0.204	0.036	5.63	1.80E-08
Coronary Artery Disease	Rheumatoid Arthritis	0.078	0.038	2.077	0.038
Coronary Artery Disease	Schizophrenia	-0.027	0.029	-0.932	3.51E-01
Coronary Artery Disease	T2D	0.367	0.051	7.167	7.69E-13
Coronary Artery Disease	Total Cholesterol	0.155	0.049	3.196	1.00E-03
Coronary Artery Disease	Triglycerides	0.269	0.039	6.837	8.08E-12
Coronary Artery Disease	Ulcerative Colitis	0.025	0.047	0.53	5.96E-01
Coronary Artery Disease	Waist Circumference	0.262	0.032	8.289	1.14E-16
Coronary Artery Disease	Waist-Hip Ratio	0.301	0.032	9.272	1.82E-20
Coronary Artery Disease	Years of Education	-0.324	0.046	-7.025	2.14E-12
Crohn's Disease	Depression	0.003	0.057	0.058	0.954
Crohn's Disease	Ever/Never Smoked	-0.02	0.055	-0.366	0.715
Crohn's Disease	Extreme BMI	-0.037	0.055	-0.681	0.496
Crohn's Disease	Extreme Height	0.095	0.053	1.792	0.073
Crohn's Disease	Fasting Glucose	-0.097	0.056	-1.727	0.084
Crohn's Disease	Fasting Insulin	-0.006	0.063	-0.095	0.925
Crohn's Disease	Fasting Proinsulin	0.186	0.094	1.983	0.047
Crohn's Disease	Former/Current Smoker	-0.015	0.076	-0.195	0.846
Crohn's Disease	HbA1C	-0.002	0.07	-0.028	0.978
Crohn's Disease	HDL	-0.052	0.046	-1.128	0.259
Crohn's Disease	Height	0.053	0.029	1.838	0.066
Crohn's Disease	Height 2010	0.087	0.033	2.595	0.009
Crohn's Disease	Hip Circumference	0.022	0.037	0.604	0.546
Crohn's Disease	HOMA-B	0.025	0.068	0.362	0.717
Crohn's Disease	HOMA-IR	-0.046	0.071	-0.64	0.522
Crohn's Disease	Infant Head Circumference	0.071	0.081	0.873	0.383
Crohn's Disease	LDL	-0.085	0.046	-1.868	0.062
Crohn's Disease	Lumbar Spine BMD	-0.04	0.051	-0.779	0.436
Crohn's Disease	Neck BMD	-0.111	0.046	-2.391	0.017
Crohn's Disease	Obesity Class 1	0.007	0.038	0.175	0.861
Crohn's Disease	Obesity Class 2	-0.033	0.044	-0.754	0.451
Crohn's Disease	Obesity Class 3	-0.098	0.07	-1.395	0.163
Crohn's Disease	Overweight	-0.02	0.041	-0.492	0.623
Crohn's Disease	Rheumatoid Arthritis	0.071	0.057	1.244	0.213
Crohn's Disease	Schizophrenia	0.101	0.034	2.965	0.003
Crohn's Disease	T2D	0.034	0.054	0.619	0.536
Crohn's Disease	Total Cholesterol	-0.08	0.042	-1.881	0.06
Crohn's Disease	Triglycerides	0.016	0.047	0.334	7.39E-01
Crohn's Disease	Ulcerative Colitis	0.7	0.047	14.93	2.12E-50
Crohn's Disease	Waist Circumference	0.002	0.037	0.062	0.95
Crohn's Disease	Waist-Hip Ratio	-0.014	0.04	-0.356	0.722
Crohn's Disease	Years of Education	-0.051	0.054	-0.953	0.34
Depression	Ever/Never Smoked	0.168	0.09	1.864	0.062
Depression	Extreme BMI	-0.149	0.091	-1.641	0.101
Depression	Extreme Height	-0.025	0.076	-0.335	0.737
Depression	Fasting Glucose	-0.061	0.079	-0.771	0.441
Depression	Fasting Insulin	-0.105	0.109	-0.969	0.332
Depression	Fasting Proinsulin	-0.019	0.137	-0.137	0.891
Depression	Former/Current Smoker	-0.109	0.116	-0.937	0.349
Depression	HbA1C	-0.132	0.108	-1.225	0.221
Depression	HDL	-0.037	0.075	-0.488	0.626
Depression	Height	-0.065	0.041	-1.595	0.111
Depression	Height 2010	-0.062	0.048	-1.29	0.197
Depression	Hip Circumference	-0.08	0.058	-1.39	0.165
Depression	HOMA-B	0.05	0.112	0.448	0.654
Depression	HOMA-IR	0.064	0.135	0.47	0.638
Depression	Infant Head Circumference	0.053	0.129	0.414	0.679
Depression	LDL	-0.058	0.082	-0.71	0.478
Depression	Lumbar Spine BMD	0.044	0.072	0.607	0.544
Depression	Neck BMD	0.091	0.068	1.353	0.176
Depression	Obesity Class 1	-0.052	0.065	-0.804	0.421
Depression	Obesity Class 2	-0.116	0.086	-1.349	0.177
Depression	Obesity Class 3	-0.024	0.118	-0.205	0.838
Depression	Overweight	-0.049	0.07	-0.695	0.487
Depression	Rheumatoid Arthritis	-0.028	0.071	-0.398	6.91E-01
Depression	Schizophrenia	0.461	0.06	7.728	1.09E-14
Depression	T2D	0.051	0.086	0.586	0.558
Depression	Total Cholesterol	-0.014	0.075	-0.187	0.852
Depression	Triglycerides	0.134	0.069	1.94	0.052
Depression	Ulcerative Colitis	0.194	0.082	2.36	0.018
Depression	Waist Circumference	0.027	0.06	0.45	0.653
Depression	Waist-Hip Ratio	0.12	0.059	2.049	4.00E-02
Depression	Years of Education	0.008	0.081	0.093	0.926
Ever/Never Smoked	Extreme BMI	0.183	0.064	2.873	0.004
Ever/Never Smoked	Extreme Height	-0.075	0.058	-1.295	0.195
Ever/Never Smoked	Fasting Glucose	0.088	0.065	1.354	0.176
Ever/Never Smoked	Fasting Insulin	0.182	0.081	2.254	0.024
Ever/Never Smoked	Fasting Proinsulin	0.281	0.149	1.886	5.90E-02
Ever/Never Smoked	Former/Current Smoker	-0.535	0.1	-5.335	9.56E-08
Ever/Never Smoked	HbA1C	0.081	0.081	1.002	0.316
Ever/Never Smoked	HDL	-0.147	0.052	-2.839	0.005
Ever/Never Smoked	Height	-0.062	0.032	-1.915	0.056
Ever/Never Smoked	Height 2010	-0.045	0.035	-1.299	0.194
Ever/Never Smoked	Hip Circumference	0.073	0.042	1.726	0.084
Ever/Never Smoked	HOMA-B	0.087	0.081	1.084	0.278
Ever/Never Smoked	HOMA-IR	0.204	0.102	1.998	0.046
Ever/Never Smoked	Infant Head Circumference	-0.025	0.105	-0.239	0.811
Ever/Never Smoked	LDL	-0.002	0.054	-0.028	0.977
Ever/Never Smoked	Lumbar Spine BMD	-0.014	0.058	-0.247	0.805
Ever/Never Smoked	Neck BMD	0.018	0.054	0.338	7.36E-01
Ever/Never Smoked	Obesity Class 1	0.216	0.047	4.602	4.19E-06
Ever/Never Smoked	Obesity Class 2	0.174	0.058	2.99	0.003
Ever/Never Smoked	Obesity Class 3	0.183	0.083	2.188	0.029
Ever/Never Smoked	Overweight	0.146	0.05	2.932	0.003
Ever/Never Smoked	Rheumatoid Arthritis	0.146	0.052	2.805	0.005
Ever/Never Smoked	Schizophrenia	0.1	0.041	2.449	0.014
Ever/Never Smoked	T2D	0.04	0.069	0.573	0.567
Ever/Never Smoked	Total Cholesterol	-0.002	0.048	-0.05	0.96
Ever/Never Smoked	Triglycerides	0.16	0.047	3.38	0.001
Ever/Never Smoked	Ulcerative Colitis	0.009	0.065	0.142	8.87E-01
Ever/Never Smoked	Waist Circumference	0.176	0.043	4.112	3.92E-05
Ever/Never Smoked	Waist-Hip Ratio	0.196	0.042	4.664	3.10E-06
Ever/Never Smoked	Years of Education	-0.337	0.06	-5.578	2.44E-08
Extreme BMI	Extreme Height	-0.069	0.045	-1.536	0.124
Extreme BMI	Fasting Glucose	0.225	0.06	3.77	0.00E+00
Extreme BMI	Fasting Insulin	0.645	0.091	7.071	1.53E-12
Extreme BMI	Fasting Proinsulin	0.307	0.102	3.005	0.003
Extreme BMI	Former/Current Smoker	-0.126	0.086	-1.465	0.143
Extreme BMI	HbA1C	0.125	0.092	1.36	0.174
Extreme BMI	HDL	-0.349	0.082	-4.258	2.06E-05
Extreme BMI	Height	-0.082	0.031	-2.634	8.00E-03
Extreme BMI	Height 2010	-0.079	0.038	-2.078	3.80E-02
Extreme BMI	Hip Circumference	0.861	0.031	27.657	2.29E-168
Extreme BMI	HOMA-B	0.512	0.118	4.349	1.37E-05
Extreme BMI	HOMA-IR	0.653	0.115	5.675	1.39E-08
Extreme BMI	Infant Head Circumference	0.134	0.097	1.375	0.169
Extreme BMI	LDL	0.056	0.055	1.028	0.304
Extreme BMI	Lumbar Spine BMD	0.039	0.051	0.764	0.445
Extreme BMI	Neck BMD	0.049	0.048	1.018	0.309
Extreme BMI	Obesity Class 1	1.002	0.024	41.6	0
Extreme BMI	Obesity Class 2	1.029	0.022	46.322	0.00E+00
Extreme BMI	Obesity Class 3	1.057	0.043	24.569	2.68E-133
Extreme BMI	Overweight	1.022	0.028	36.558	1.34E-292
Extreme BMI	Rheumatoid Arthritis	0.074	0.053	1.394	0.163
Extreme BMI	Schizophrenia	-0.041	0.041	-1	3.17E-01
Extreme BMI	T2D	0.362	0.066	5.508	3.63E-08
Extreme BMI	Total Cholesterol	-0.004	0.044	-0.1	0.92
Extreme BMI	Triglycerides	0.208	0.055	3.763	0
Extreme BMI	Ulcerative Colitis	-0.196	0.062	-3.153	2.00E-03
Extreme BMI	Waist Circumference	0.893	0.03	29.412	3.91E-190
Extreme BMI	Waist-Hip Ratio	0.522	0.047	11.008	3.51E-28
Extreme BMI	Years of Education	-0.215	0.051	-4.187	2.83E-05
Extreme Height	Fasting Glucose	0.048	0.059	0.805	0.421
Extreme Height	Fasting Insulin	0.011	0.067	0.169	0.866
Extreme Height	Fasting Proinsulin	0.146	0.083	1.744	0.081
Extreme Height	Former/Current Smoker	0.009	0.071	0.128	0.898
Extreme Height	HbA1C	-0.118	0.085	-1.394	0.163
Extreme Height	HDL	0.023	0.057	0.406	6.85E-01
Extreme Height	Height	0.988	0.014	71.141	0
Extreme Height	Height 2010	0.98	0.013	77.633	0
Extreme Height	Hip Circumference	0.398	0.036	11.113	1.09E-28
Extreme Height	HOMA-B	-0.035	0.079	-0.44	0.66
Extreme Height	HOMA-IR	0.067	0.078	0.86	0.39
Extreme Height	Infant Head Circumference	0.202	0.092	2.199	0.028
Extreme Height	LDL	-0.12	0.048	-2.48	0.013
Extreme Height	Lumbar Spine BMD	0.023	0.045	0.499	0.618
Extreme Height	Neck BMD	-0.005	0.047	-0.096	0.924
Extreme Height	Obesity Class 1	-0.069	0.04	-1.749	0.08
Extreme Height	Obesity Class 2	-0.016	0.042	-0.385	0.7
Extreme Height	Obesity Class 3	-0.086	0.049	-1.748	0.081
Extreme Height	Overweight	-0.052	0.038	-1.357	0.175
Extreme Height	Rheumatoid Arthritis	0.042	0.045	0.946	0.344
Extreme Height	Schizophrenia	0.042	0.034	1.219	0.223
Extreme Height	T2D	-0.038	0.061	-0.631	0.528
Extreme Height	Total Cholesterol	-0.106	0.042	-2.543	0.011
Extreme Height	Triglycerides	-0.068	0.039	-1.746	0.081
Extreme Height	Ulcerative Colitis	0.045	0.064	0.707	4.80E-01
Extreme Height	Waist Circumference	0.225	0.036	6.216	5.10E-10
Extreme Height	Waist-Hip Ratio	-0.086	0.038	-2.236	0.025
Extreme Height	Years of Education	0.075	0.044	1.705	0.088
Fasting Glucose	Fasting Insulin	0.296	0.093	3.173	0.002
Fasting Glucose	Fasting Proinsulin	0.359	0.143	2.515	0.012
Fasting Glucose	Former/Current Smoker	-0.201	0.086	-2.344	0.019
Fasting Glucose	HbA1C	0.4	0.098	4.065	4.81E-05
Fasting Glucose	HDL	-0.208	0.067	-3.121	2.00E-03
Fasting Glucose	Height	-0.016	0.034	-0.472	6.37E-01
Fasting Glucose	Height 2010	-0.018	0.04	-0.461	6.45E-01
Fasting Glucose	Hip Circumference	0.238	0.056	4.246	2.18E-05
Fasting Glucose	HOMA-B	-0.47	0.104	-4.521	6.17E-06
Fasting Glucose	HOMA-IR	0.497	0.088	5.639	1.71E-08
Fasting Glucose	Infant Head Circumference	0.008	0.096	0.085	0.933
Fasting Glucose	LDL	-0.055	0.066	-0.833	0.405
Fasting Glucose	Lumbar Spine BMD	0.125	0.06	2.086	0.037
Fasting Glucose	Neck BMD	0.141	0.055	2.573	1.00E-02
Fasting Glucose	Obesity Class 1	0.26	0.05	5.225	1.74E-07
Fasting Glucose	Obesity Class 2	0.249	0.062	4.048	5.16E-05
Fasting Glucose	Obesity Class 3	0.258	0.081	3.195	1.00E-03
Fasting Glucose	Overweight	0.271	0.054	5.044	4.55E-07
Fasting Glucose	Rheumatoid Arthritis	0.035	0.057	0.623	0.533
Fasting Glucose	Schizophrenia	-0.037	0.035	-1.052	2.93E-01
Fasting Glucose	T2D	0.667	0.103	6.488	8.69E-11
Fasting Glucose	Total Cholesterol	-0.096	0.065	-1.482	0.138
Fasting Glucose	Triglycerides	0.117	0.095	1.226	0.22
Fasting Glucose	Ulcerative Colitis	0.044	0.07	0.636	5.25E-01
Fasting Glucose	Waist Circumference	0.302	0.051	5.945	2.76E-09
Fasting Glucose	Waist-Hip Ratio	0.202	0.052	3.868	0
Fasting Glucose	Years of Education	-0.11	0.059	-1.858	0.063
Fasting Insulin	Fasting Proinsulin	0.252	0.139	1.82	0.069
Fasting Insulin	Former/Current Smoker	-0.135	0.1	-1.35	0.177
Fasting Insulin	HbA1C	0.166	0.109	1.525	0.127
Fasting Insulin	HDL	-0.554	0.077	-7.192	6.39E-13
Fasting Insulin	Height	0.035	0.039	0.89	3.74E-01
Fasting Insulin	Height 2010	0.044	0.046	0.961	3.37E-01
Fasting Insulin	Hip Circumference	0.554	0.064	8.662	4.64E-18
Fasting Insulin	HOMA-B	1.102	0.077	14.406	4.72E-47
Fasting Insulin	HOMA-IR	1.532	0.108	14.202	8.89E-46
Fasting Insulin	Infant Head Circumference	0.038	0.121	0.317	0.751
Fasting Insulin	LDL	0.082	0.084	0.976	0.329
Fasting Insulin	Lumbar Spine BMD	0.047	0.075	0.62	0.536
Fasting Insulin	Neck BMD	0.119	0.068	1.761	7.80E-02
Fasting Insulin	Obesity Class 1	0.606	0.059	10.361	3.73E-25
Fasting Insulin	Obesity Class 2	0.669	0.08	8.394	4.71E-17
Fasting Insulin	Obesity Class 3	0.632	0.114	5.544	2.97E-08
Fasting Insulin	Overweight	0.635	0.062	10.156	3.10E-24
Fasting Insulin	Rheumatoid Arthritis	0.033	0.063	0.528	0.597
Fasting Insulin	Schizophrenia	-0.008	0.048	-0.162	8.71E-01
Fasting Insulin	T2D	0.483	0.095	5.074	3.90E-07
Fasting Insulin	Total Cholesterol	0.035	0.071	0.485	6.28E-01
Fasting Insulin	Triglycerides	0.457	0.094	4.877	1.08E-06
Fasting Insulin	Ulcerative Colitis	-0.051	0.069	-0.749	4.54E-01
Fasting Insulin	Waist Circumference	0.729	0.065	11.233	2.82E-29
Fasting Insulin	Waist-Hip Ratio	0.661	0.061	10.884	1.37E-27
